"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Anguilla",1,2016,0,15000,0,47
"Antigua-Barbuda",1,2016,0,100963,0,1633
"Argentina",1,2016,27,43847430,NA,48299
"Aruba",1,2016,18,104822,NA,9345
"Bahamas",1,2016,18,391232,0,39714
"Barbados",1,2016,283,284996,0,4808
"Belize",1,2016,5,366954,0,2748
"Bermuda",1,2016,NA,65331,NA,2099
"Bolivia",1,2016,134,10887882,0,7790
"Bonaire, Saint Eustatius and Saba",1,2016,NA,25000,0,435
"Brazil",1,2016,49497,207652865,2,129979
"Canada",1,2016,NA,36286425,NA,236620
"Cayman Islands",1,2016,9,60765,0,10434
"Chile",1,2016,NA,17909754,NA,19570
"Colombia",1,2016,23435,48653419,3,79697
"Costa Rica",1,2016,3,4857274,1,31580
"Cuba",1,2016,0,11475982,0,53459
"Curacao",1,2016,133,159999,0,3861
"Dominica",1,2016,0,73543,0,162
"Dominican Rep",1,2016,357,10648791,0,40178
"Ecuador",1,2016,61,16385068,0,19819
"El Salvador",1,2016,4370,6344722,3,4627
"French Guiana",1,2016,613,283000,NA,96
"Grenada",1,2016,0,107317,0,1308
"Guadeloupe",1,2016,125,450000,0,416
"Guatemala",1,2016,528,16582469,0,9889
"Guyana",1,2016,3,773303,0,3287
"Haiti",1,2016,789,10847334,7,23065
"Honduras",1,2016,9539,9112867,1,12739
"Jamaica",1,2016,304,2881355,0,29741
"Martinique",1,2016,4952,385000,0,750
"Mexico",1,2016,130,127540423,0,90126
"Nicaragua",1,2016,128,6149928,0,17351
"Panama",1,2016,139,4034119,0,16336
"Paraguay",1,2016,155,6725308,NA,4251
"Peru",1,2016,3,31773839,NA,24487
"Puerto Rico",1,2016,248,3411307,2,70854
"St Barthelemy",1,2016,8,9278,0,17
"St Kitts-Nevis",1,2016,0,54821,NA,2912
"St Lucia",1,2016,0,178015,0,1945
"St Maarten (Dutch Part)",1,2016,30,40005,NA,6454
"St Vincent-Grenad",1,2016,15,109643,NA,54
"Suriname",1,2016,1632,558368,0,1937
"Trinidad-Tobago",1,2016,1,1364962,0,10234
"Turks-Caicos",1,2016,3,34900,NA,6510
"Uruguay",1,2016,NA,3444006,NA,7665
"Venezuela",1,2016,9205,31568179,11,36738
"Virgin Islands (GB)",1,2016,0,30661,0,642
"Virgin Islands (US)",1,2016,50,102951,0,9500
"Anguilla",2,2016,0,15000,0,71
"Antigua-Barbuda",2,2016,0,100963,0,1486
"Argentina",2,2016,4,43847430,NA,44164
"Aruba",2,2016,11,104822,NA,7100
"Bahamas",2,2016,24,391232,0,31570
"Barbados",2,2016,167,284996,0,3922
"Belize",2,2016,6,366954,0,2319
"Bermuda",2,2016,NA,65331,NA,2471
"Bolivia",2,2016,193,10887882,1,5743
"Bonaire, Saint Eustatius and Saba",2,2016,NA,25000,1,500
"Brazil",2,2016,77393,207652865,3,81793
"Canada",2,2016,NA,36286425,NA,280753
"Cayman Islands",2,2016,10,60765,0,8994
"Chile",2,2016,NA,17909754,NA,20520
"Colombia",2,2016,18343,48653419,12,56531
"Costa Rica",2,2016,14,4857274,0,21125
"Cuba",2,2016,0,11475982,0,30712
"Curacao",2,2016,427,159999,0,4024
"Dominica",2,2016,0,73543,0,229
"Dominican Rep",2,2016,421,10648791,0,29626
"Ecuador",2,2016,49,16385068,0,29524
"El Salvador",2,2016,934,6344722,3,3195
"French Guiana",2,2016,1293,283000,NA,104
"Grenada",2,2016,0,107317,0,1510
"Guadeloupe",2,2016,524,450000,0,567
"Guatemala",2,2016,577,16582469,0,7581
"Guyana",2,2016,10,773303,1,2602
"Haiti",2,2016,852,10847334,4,17419
"Honduras",2,2016,6208,9112867,4,9211
"Jamaica",2,2016,378,2881355,0,24050
"Martinique",2,2016,5697,385000,0,566
"Mexico",2,2016,104,127540423,0,72335
"Nicaragua",2,2016,166,6149928,4,11743
"Panama",2,2016,203,4034119,0,15099
"Paraguay",2,2016,129,6725308,NA,2747
"Peru",2,2016,11,31773839,NA,26987
"Puerto Rico",2,2016,344,3411307,2,69998
"St Barthelemy",2,2016,0,9278,0,15
"St Kitts-Nevis",2,2016,0,54821,NA,1771
"St Lucia",2,2016,0,178015,0,1532
"St Maarten (Dutch Part)",2,2016,94,40005,NA,5502
"St Vincent-Grenad",2,2016,28,109643,NA,87
"Suriname",2,2016,854,558368,0,1552
"Trinidad-Tobago",2,2016,3,1364962,0,13479
"Turks-Caicos",2,2016,5,34900,NA,4443
"Uruguay",2,2016,NA,3444006,NA,4989
"Venezuela",2,2016,17046,31568179,7,31067
"Virgin Islands (GB)",2,2016,0,30661,0,490
"Virgin Islands (US)",2,2016,80,102951,0,10876
"Anguilla",3,2016,0,15000,0,60
"Antigua-Barbuda",3,2016,0,100963,0,1880
"Argentina",3,2016,7,43847430,NA,47781
"Aruba",3,2016,1,104822,NA,8521
"Bahamas",3,2016,0,391232,0,44564
"Barbados",3,2016,82,284996,1,4917
"Belize",3,2016,3,366954,2,3120
"Bermuda",3,2016,NA,65331,NA,2732
"Bolivia",3,2016,150,10887882,0,5916
