Air passengers,Month,Anguilla,Antigua-Barbuda,Argentina,Aruba,Bahamas,Barbados,Belize,Bolivia,"Bonaire, Saint Eustatius and Saba",Brazil,Cayman Islands,Colombia,Costa Rica,Cuba - IATA + charter,Curacao,Dominica,Dominican Rep,Ecuador,El Salvador,French Guiana,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,St Barthelemy,St Kitts-Nevis,St Lucia,St Maarten (Dutch Part),St Vincent-Grenad,Suriname,Trinidad-Tobago,Turks-Caicos,Venezuela,Virgin Islands (GB),Virgin Islands (US)
2016,1,47,1633,48299,9345,39714,4808,2748,7790,435,129979,10434,79697,31580,53459,3861,162,40178,19819,4627,96,1308,416,9889,3287,23065,12739,29741,750,90126,17351,16336,4251,24487,70854,17,2912,1945,6454,54,1937,10234,6510,36738,642,9500
2016,2,71,1486,44164,7100,31570,3922,2319,5743,500,81793,8994,56531,21125,30712,4024,229,29626,29524,3195,104,1510,567,7581,2602,17419,9211,24050,566,72335,11743,15099,2747,26987,69998,15,1771,1532,5502,87,1552,13479,4443,31067,490,10876
2016,3,60,1880,47781,8521,44564,4917,3120,5916,849,67181,10087,75256,25810,40724,4309,183,36565,32982,4357,137,1480,566,9872,3367,26286,10869,33259,756,102271,13583,13269,2573,24400,86893,12,2707,1907,6235,48,2427,12938,5680,41514,747,11567
2016,4,44,1528,49160,6962,45968,5120,2936,6897,598,73852,11486,60052,21481,37683,4738,299,33703,29246,3032,297,1723,798,8550,3472,26087,9644,29903,447,78732,11716,10527,3025,23046,84641,9,2478,1564,5308,51,2030,11612,5239,43168,523,11419
2016,5,65,1431,52925,6603,46190,6812,2445,7224,695,74813,9049,70100,21822,37201,3942,361,37573,22753,4285,192,2099,357,9815,3324,24319,11387,34223,414,90265,11902,10337,2908,27686,102070,0,1909,1897,5187,68,1798,13476,4829,44530,511,12801
2016,6,122,1285,42490,6701,48298,6846,2707,7199,931,70749,8806,82857,21974,30283,4135,343,48350,17894,3902,257,1687,544,10955,4269,27381,13340,34745,931,86467,13424,10973,3392,23744,120156,10,2151,1698,4696,104,1368,12839,6237,40898,425,12879
2016,7,76,1668,58497,9873,60307,7898,3216,6781,971,84139,13115,80296,27227,48932,7279,388,58448,26197,5029,167,1559,1178,9608,4760,37924,14838,48190,1353,119786,15647,12032,4270,28903,120634,19,2764,2273,7249,108,1453,15562,8737,45158,542,12879
2016,8,96,2378,46853,10024,60139,7970,1786,6928,452,78235,12185,73863,23582,48735,5265,429,52463,30285,4729,186,2388,705,8578,4389,41048,12673,42412,1151,94726,15284,11100,2928,23466,99379,7,3425,2042,6218,101,2131,16063,6834,48895,397,12034
2016,9,16,1116,53700,8827,35259,5820,2079,6116,477,83108,7654,62032,21353,50213,4202,419,32657,25314,4236,160,1138,156,8178,3048,26970,10574,26963,239,79872,11337,11153,3124,23273,78229,5,1688,1518,3430,108,3529,11106,4446,38601,209,9412
2016,10,14,1045,50147,7608,39713,5218,1369,6294,656,86815,9137,68905,20399,57251,4845,380,31210,28486,4250,272,1197,367,9683,3090,24580,10736,29090,778,81923,10002,13598,2879,24832,92195,7,1726,1447,4184,106,1576,12259,4353,38987,320,10799
2016,11,56,1220,46446,7208,42877,6149,2630,7067,465,87552,10506,69418,22379,66722,4628,442,34319,25599,4324,119,1167,428,12112,3195,23730,9669,31447,536,82499,10554,12514,2873,20988,98276,0,2072,1932,5068,121,1855,14507,4527,40136,382,11507
2016,12,69,1959,54093,10842,58249,6849,2015,6923,481,131946,12730,83648,29812,142537,5395,420,40834,20928,4943,148,1954,1205,12799,3294,24981,12567,32853,1170,106008,13118,11485,3051,21607,75301,0,2761,1783,5458,156,1737,15743,5967,50269,441,9515
2017,1,57,1738,57242,9384,43907,6584,1950,7267,330,123397,8883,68934,30295,100269,4848,427,42273,17382,267,128,1697,1258,9081,3411,28516,10803,33636,582,97957,15481,13044,3856,22820,102290,8,2794,2135,5541,206,1473,11333,5852,28366,544,10400
2017,2,58,1455,56596,7948,38612,6109,1692,5836,476,82576,8697,50615,19216,70922,3835,283,33464,26005,111,192,1214,1590,6797,2713,21974,8432,25424,620,71710,9692,14038,2689,21449,80084,2,1848,1598,5448,184,1485,10650,4976,23303,405,9504
2017,3,67,1665,54231,9253,49676,6485,2642,6042,753,69372,9843,65549,26488,90562,4684,421,42385,32549,722,150,1600,1740,8135,3453,24453,10186,33762,455,92352,10759,10347,2917,19822,98410,9,1975,1964,6563,166,1479,14333,4179,29241,520,11604
2017,4,55,1597,56549,9763,51346,7610,2525,6343,658,79588,10836,67349,22987,91273,4751,403,39815,28489,240,287,1563,2415,9721,4203,26676,12178,36163,504,88808,12648,10322,5016,18743,96969,0,2369,2056,6525,77,1897,14517,3735,29823,507,11799
2017,5,32,1587,57618,9334,56962,6228,2164,5621,660,71118,11332,66657,20488,86340,3887,266,38298,20209,473,175,2062,476,7853,3437,25121,10894,33788,590,79081,10917,9229,2853,23214,109015,4,1689,2081,5757,84,1261,12990,4458,27994,534,12477
2017,6,97,1842,48031,9105,56707,5715,3240,7279,512,78465,12721,83247,19810,80148,3993,281,47337,17479,578,253,1469,567,10710,3275,25422,12940,36866,297,84912,12905,9802,3396,21067,126717,13,1979,2042,5949,67,1615,13049,4959,29448,443,12534
2017,7,189,1736,65131,14191,75745,6225,3878,5963,429,92255,15852,75110,23606,94104,5861,286,56200,21865,146,148,1408,1367,9988,4646,34151,14463,49250,1511,116393,15027,11674,5879,28485,104569,1,2644,2534,7745,174,1441,15912,9294,36701,486,12202
2017,8,142,2802,51463,13048,68343,7551,4082,6258,324,83563,15322,77304,22548,95882,4107,394,51823,30372,307,119,2118,871,8860,4757,36523,12961,45427,767,93557,15728,11945,4543,24964,115842,9,3251,2298,6856,93,2424,16089,8364,36573,461,12748
2017,9,19,764,49943,9103,34882,3955,2908,4997,194,80505,9622,57700,19089,58829,2807,164,32281,26539,1262,126,1204,218,6235,2450,21644,10390,24927,239,70833,10402,9689,3442,18815,111784,5,1057,1181,4611,352,2913,8410,3108,25354,142,10964
2017,10,15,1360,44333,9213,35630,6406,3617,5649,112,97749,12219,64689,19948,70918,4683,130,38459,25319,227,307,1817,844,9674,3045,23670,10987,29988,677,79378,10533,10705,2626,24007,78246,8,2178,1870,1358,53,1362,12156,3212,27936,191,5131
2017,11,41,1652,45530,9167,43789,7340,3398,6274,71,94991,12561,68584,25255,70972,4128,86,38412,24961,649,245,1618,2086,12354,3358,23080,11101,33339,2000,90105,11966,10998,3218,24090,64867,0,2830,1976,1971,11,1391,12606,6250,30828,135,6139
